,id,host_is_superhost,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities
8413,49508199,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,115.0,2,0,0,0,1,0,1,0,1.0,13.0
8414,49511262,f,ΖΑΠΠΕΙΟ,4,1.0,1.0,66.0,2,10,1,0,0,0,1,0,1.0,16.0
8415,49512347,f,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2,1.0,0.0,74.0,2,23,1,0,0,0,1,0,1.0,19.0
8416,49512464,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,10,4.0,9.0,107.0,2,4,1,0,0,0,1,0,2.0,15.0
8417,49518565,t,ΣΤΑΔΙΟ,4,1.0,3.0,45.0,3,4,1,0,0,0,1,0,2.0,15.0
8418,49527874,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3,1.0,1.0,69.0,2,32,1,0,0,0,1,0,1.0,16.0
8419,49528361,t,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,4,2.0,2.0,28.0,3,7,1,0,0,0,1,0,1.0,15.0
8420,49545717,f,ΘΗΣΕΙΟ,4,1.0,2.0,49.0,2,2,1,0,0,0,1,0,1.0,15.0
8421,49556452,t,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,2,1.0,1.0,47.0,2,27,1,0,0,0,1,0,1.0,17.0
8422,49557963,f,ΝΕΟΣ ΚΟΣΜΟΣ,2,1.0,1.0,36.0,1,19,1,0,0,0,1,0,1.0,16.0
8423,49560200,f,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,4,2.0,2.0,25.0,1,0,1,0,0,0,1,0,1.0,15.0
8424,49577820,f,ΠΕΤΡΑΛΩΝΑ,2,1.0,1.0,40.0,3,6,1,0,0,0,1,0,1.0,13.0
8425,49578748,f,ΚΥΨΕΛΗ,4,1.0,3.0,60.0,3,0,1,0,0,0,1,0,1.0,13.0
